text,label_class,label
你好，请问，彼迈乐盐酸舍曲林片上海哪里有卖的呢？谢谢。,yes,0
我的舌头大而厚，有很深的齿印，说话有时舌头发沉，吐字不太清，这是怎么回事？,yes,0
四岁小孩一动就满头大汗，四岁女童，无论什么天气，一动就是满头大汗！易感冒！咳嗽，喘！,yes,0
我今年43岁了，我这段时间感觉身体有些难受，就到医院检查了一下，检查结果是患上了间质性肺炎，请问间质性肺炎怎么引起的？,yes,0
请教一下如何理解小汗腺痣是啥？,yes,0
癔症性眩晕步态是什么病？,yes,0
胸闷气短痰多易感冒，呼吸困难,yes,0
肛门口长了红色小肿块，疼痛，是不是痔疮吗？怎么治疗？,yes,0
这个月老公吃了15天的阿斯美复方甲氧那明胶囊，那这个月我们可以要宝宝吗？,yes,0
产妇肛裂怎么办,yes,0
还能治其他哪些病呢？医生该用什么药呢，我想快一点好起来。,yes,0
前段时间小便时有点刺痛还有点尿频尿急还有点想吐。而且月经也提前来了是怎么了？,yes,0
您好鱼油和鱼肝油可以同时服用吗,yes,0
先天后脑血管凯细脑供血不足血压高头有时候不舒服,yes,0
问一下心包胸腺瘤是否会传染？,yes,0
血压低可以服用丹参保心茶,yes,0
宝宝吐奶带血正常吗,yes,0
你好，我想咨询一下，心梗，未装支架，请问可以服用波立维吗？服用多长时间合适？,yes,0
少女月经腹痛该怎么办,yes,0
心脏病患者吃了一颗多潘立酮片怎么办,yes,0
什么是过敏性哮喘，得了过敏性哮喘怎么办？,yes,0
怀孕晚期失眠严重该怎么办好啊，我现在这样的情况有什么好的办法可以改善呀？,yes,0
手足徐动症的症状表现是什么,yes,0
请问外阴及腹股沟部位特别痒颜色深二者有无关系？,yes,0
冷水洗肛门对治愈痔疮效果好吗？有什么医学依据？,yes,0
如何预防扩张型心肌病？,yes,0
肾结石吃什么药效果好？,yes,0
宝宝拉肚子便便里有血丝,yes,0
脑疝偏瘫能恢复什么程度,yes,0
有慢支肺气肿的患者，服用强力健身胶囊会不会有副作用？可以吃多久？,yes,0
怀孕19周，有过三次头晕眼花心悸气短，要晕倒，这是怎么回事？,yes,0
强迫症太严重没法生活怎么办,yes,0
平时生活中会有一些的轻微的手脚麻木的现象出现，所以想抗栓再造丸试试？,yes,0
脑性瘫痪综合征可以怎么诊断,yes,0
你好，我想买骨松宝胶囊治疗骨质疏松，请问，此药在宁波奉化哪里能买的到呢？,yes,0
无痛人流也是刮宫吗？,yes,0
2个月的女宝宝吐奶,yes,0
请问月经还没来是怎么回事呀？,yes,0
请教一下喉外伤要做什么化验治疗吗,yes,0
发烧后肌肉酸痛关节疼痛咳嗽流鼻涕怎么办,yes,0
2岁4个月小孩不怎么吃饭咋办呢,yes,0
41天的宝宝下嘴唇发抖是什么原因引起的呢？有什么办法可以治好吗？,yes,0
颈肋综合征如何体检？,yes,0
每晚睡觉大脑都会想事，都是半睡半醒状态心理有点紧替感觉,yes,0
