article_id,entity_id
5574,117
5574,54
5574,158
5574,114
5575,293
5575,294
5575,295
5576,240
5576,290
5577,281
5578,296
5579,3
5579,1
5579,1
5581,110
5583,54
5583,54
5584,64
5584,297
5585,78
5586,3
5586,1
5587,298
5587,141
5587,142
5588,282
5588,299
5589,144
5590,300
5591,91
5592,301
5593,302
5594,145
5594,303
5595,304
5595,16
5595,242
5595,305
5595,304
5595,16
5596,184
5596,184
5596,185
5597,301
5599,306
5600,44
5603,307
5604,242
5604,308
5604,181
5604,193
5605,307
5606,290
5606,252
5607,16
5608,54
5610,309
5610,181
5610,310
5611,311
5612,245
5612,108
5612,51
5612,50
5613,69
5613,312
5613,313
5613,310
5614,184
5614,185
5615,77
5615,314
5616,315
5616,115
5616,159
5617,30
5618,316
5619,125
5620,38
5620,317
5621,144
5622,311
5624,140
5625,312
5625,313
5625,310
5625,318
5626,145
5627,141
5627,142
5628,221
5629,319
5629,320
5629,321
5630,322
5631,179
5633,84
5634,229
5634,221
5635,62
5635,132
5635,133
5635,221
5636,265
5636,35
5637,119
5637,119
5638,87
5641,141
5641,142
5642,55
5642,323
5642,324
5642,54
5642,54
5642,325
5643,103
5643,103
5645,36
5647,108
5648,108
5649,21
5649,326
5650,108
5650,103
5651,261
5652,179
5653,9
5653,108
5654,221
5655,110
5655,110
5656,103
5656,239
5656,239
5657,9
5658,103
5658,103
5659,229
5663,327
5664,50
5664,103
5665,252
5666,290
5667,290
5668,290
5669,290
5672,290
5673,141
5673,142
5673,290
5674,252
5674,97
5675,290
5675,9
5676,221
5676,221
5677,328
5679,150
5680,140
5680,68
5680,69
5684,54
5684,55
5684,329
5684,54
5687,2
5687,110
5688,138
5691,56
5693,285
5694,182
5698,66
5698,67
5699,54
5700,97
5701,290
5702,240
5703,290
5704,44
5704,131
5705,68
5705,69
5706,195
5707,195
5708,221
5708,119
5709,195
5710,56
5711,290
5711,290
5712,103
5714,330
5715,133
5716,331
5717,332
5717,35
5718,205
5719,127
5720,205
5723,112
5724,181
5724,193
5724,181
5724,193
5725,87
5727,49
5727,50
5728,141
5728,142
5730,145
5730,145
5731,66
5731,67
5732,66
5732,67
5732,281
5733,66
5733,67
5734,252
5735,117
5736,333
5737,28
5737,12
5738,71
5739,16
5740,26
5740,5
5741,127
5742,240
5744,105
5746,36
5746,183
5746,334
5747,335
5749,30
5749,144
5749,276
5751,336
5752,108
5753,171
5754,290
5754,290
5755,97
5757,54
5758,141
5758,142
5761,81
5762,141
5762,142
5762,252
5763,140
5763,140
5767,54
5768,337
5768,337
5770,325
5771,252
5773,79
5774,338
5775,97
5776,339
5776,340
5776,341
5779,246
5779,37
5779,335
5780,252
5780,252
5781,290
5781,290
5782,322
5782,36
5782,183
5784,141
5784,142
5785,141
5785,142
5787,141
5787,142
5788,342
5789,36
5789,40
5790,272
5790,272
5791,132
5791,133
5793,290
5795,138
5796,54
5797,343
5798,54
5799,104
5800,183
5800,317
5803,183
5804,259
5804,37
5804,246
5806,97
5806,246
5807,301
5808,318
5810,101
5811,44
5813,68
5813,69
5814,103
5814,103
5815,290
5815,290
5816,344
5817,252
5819,268
5821,252
5822,54
5824,290
5825,21
5827,54
5828,54
5828,55
5828,345
5829,290
5831,287
5831,288
5831,237
5832,5
5833,54
5833,54
5833,54
5835,267
5836,311
5838,55
5838,323
5838,324
5838,55
5838,54
5839,290
5840,54
5841,92
5841,277
5842,54
5843,103
5845,141
5845,142
5845,141
5845,142
5845,252
5845,240
5846,132
5846,133
5847,9
5848,30
5849,54
5850,101
5852,86
5852,86
5854,346
5854,133
5855,92
5857,252
5859,54
5861,236
5862,68
5862,69
5863,55
5863,347
5863,55
5864,348
5864,16
5865,343
5866,127
5867,349
5867,246
5868,350
5869,290
5869,290
5870,110
5871,108
5873,30
5874,54
5875,87
5876,351
5877,336
5878,138
5880,179
5880,119
5882,30
5882,145
5882,30
5883,138
5884,114
5885,44
5886,352
5887,5
5889,13
5890,266
5891,195
5892,141
5892,142
5892,141
5892,142
5892,252
5893,30
5894,289
5895,276
5896,141
5896,142
5897,353
5898,138
5899,354
5900,54
5900,54
5900,355
5901,138
5902,138
5903,356
5904,357
5906,28
5906,12
5907,198
5907,50
5908,221
5909,81
5909,358
5911,359
5912,43
5913,138
5914,290
5915,161
5915,16
5916,106
5917,54
5919,290
5921,33
5921,360
5922,290
5922,143
5923,290
5923,43
5925,141
5925,142
5928,97
5929,290
5930,179
5931,290
5932,138
5933,272
5935,290
5936,43
5937,88
5938,21
5938,21
5939,361
5940,108
5941,30
5942,30
5944,276
5945,362
5945,30
5946,30
5948,290
5948,68
5948,69
5949,284
5952,108
5954,184
5954,185
5955,16
5958,290
5959,161
5959,16
5960,81
5960,136
5961,287
5961,288
5961,268
5962,44
5963,54
5963,252
5964,363
5964,290
5965,161
5965,16
5966,252
5967,9
5968,284
5968,9
5969,252
5970,290
5970,364
5972,337
5972,252
5972,252
5973,365
5974,366
5975,21
5977,9
5978,21
5982,247
5983,184
5983,184
5984,325
5988,127
5989,87
5991,9
5992,110
5993,9
5995,38
5995,248
5997,9
5998,335
6005,93
6005,94
6006,9
6007,59
6007,367
6013,198
6013,50
6016,276
6016,276
6017,9
6017,110
6019,9
6024,76
6024,368
6027,369
6032,370
6032,281
6032,281
6037,371
6041,9
6043,161
6043,16
6045,242
6048,9
6048,9
6051,67
6055,20
6056,78
6062,2
6064,31
6064,19
6068,92
6068,9
6068,9
6069,19
6070,290
6071,120
6074,285
6076,9
6076,177
6076,249
6080,52
6080,53
6082,9
6083,132
6083,133
6086,372
6086,110
6087,139
6090,373
6090,374
6090,373
6090,374
6091,103
6091,103
6092,375
6092,375
6097,376
6100,163
6102,145
6103,145
6104,146
6107,145
6112,377
6112,16
6116,378
6116,365
6121,379
6121,380
6125,92
6127,92
6129,291
6132,381
6133,356
6142,379
6142,380
6143,44
6143,283
6144,382
6145,126
6147,221
6147,221
6148,141
6148,142
6148,68
6148,69
6149,221
6150,110
6150,110
6151,107
6152,271
6152,221
6152,221
6153,383
6154,75
6154,221
6156,9
6157,384
6157,7
6157,266
6160,30
6160,276
6161,385
6163,21
6164,386
6164,248
6165,84
6166,284
6167,126
6168,141
6168,142
6169,141
6169,142
6170,54
6172,387
6173,33
6175,131
6178,147
6184,233
6189,284
6189,127
6191,36
6191,388
6193,326
6195,127
6196,30
6197,9
6197,9
6200,54
6201,9
6202,9
6204,127
6205,30
6205,37
6206,3
6206,1
6207,49
6207,50
6209,141
6209,142
6210,30
6211,121
6211,122
6212,88
6213,179
6214,221
6214,221
6215,261
6216,249
6217,141
6217,142
6218,138
6219,389
6219,194
6219,390
6219,391
6220,184
6220,184
6220,185
6221,31
6222,126
6222,131
6223,392
6224,127
6224,127
6225,125
6225,164
6226,85
6227,393
6228,88
6228,88
6229,30
6230,77
6230,221
6230,221
6231,127
6232,5
6233,276
6233,392
