text,label_class,label
集3种结节、息肉于一身，原来是痰湿惹祸！中医调治后至今未复发,search,2
困扰六个月的息肉，在六周内被完全化解，医生都不敢相信这个结果,search,2
女患者不到40岁，结节竟已显露恶性症状，幸亏老中医出手了！,search,2
为什么有的人会患肺结节？两个原因，外因是环境污染，内因更可怕,search,2
息肉直径长到一厘米，西医建议直接切除胆囊，中医给出另一条路,search,2
饭后肚子胀痛怎么办？长期便秘的人，该如何通过食物调理？,search,2
发现肺结节后惶惶不可终日？大可不必！30%的人和你有一样的困扰,search,2
大便细软，排便无力，气虚引起的便秘该如何化解？务必看到最后,search,2
一种名花有疏肝解郁的作用，取三五朵泡茶喝，可以化解结节和咽炎,search,2
秋分养生：阴阳对半，昼夜均分，注意保暖，多食百合,search,2
胃肠息肉＋癌胚抗原异常，他以为大难临头，谁料三个月后情况逆转,search,2
两种疾病仅一字之差，却是良恶之别，其中一种是最恶劣的癌症之一,search,2
食欲很好但消化不良？根源问题是胃强脾弱！中医一道名方专解此症,search,2
化解息肉的一个关键细节，患者自己都没留意，却被老中医一眼看破,search,2
风险最大的“肉疙瘩”在肠胃当中，偏偏它们最难发现，千万别大意,search,2
恶变怎么办？老主任含笑回应，一个月化解胀痛，三个月结节消失,search,2
有萎缩性胃炎怎么办？喝粥就能养胃吗？烧心、打嗝、呃逆怎么办？,search,2
结节息肉都有，能吃牛羊肉么？能吃海鲜么？关键问题不在这些,search,2
脾胃亏虚生百病？调好脾胃也能防百病！只需几种常见食材就能做到,search,2
肠有糜烂、乳有结节、子宫还有肌瘤，这么复杂的病情该如何调理？,search,2
胆结石与高脂血症，与两种特殊体质有关，改善后竟可“未病先治”,search,2
无论甲状腺结节还是乳腺结节，都可以用这两种花泡茶饮,search,2
关于甲状腺结节，这三个重点鲜为人知，但又至关重要,search,2
化解结节的法宝！夏枯草配五种不同的花，可以调理五种不同的结节,search,2
息肉切了三次，复发了三次，老中医无奈：你走了太多弯路！,search,2
中青年人多发胃病，原因主要有两个，中医调理只有一个原则,search,2
手脚无力、消化不良，越疲劳的人越易长息肉？关键在一种特殊体质,search,2
“癌前疾病”里的大哥大，七成胃癌患者患过此病,search,2
肠息肉是一个天平，不要再让它向“恶变”方向倾斜了,search,2
脾虚形成的肠息肉，到底让人多难受？这位先生的情况非常经典,search,2
对于胆囊息肉，你只需要记住两点,search,2
时常打嗝嗳气，结果查出胃息肉，两者有何联系？一道名方专解此症,search,2
有磨玻璃结节就惊慌失措？大可不必！CT报告上你更该关注另一件事,search,2
一个半月，肠化生彻底消失，她究竟用了什么办法？,search,2
一个比喻，讲透了结节和息肉的本质，想要根除只有一个办法！,search,2
分享两道食疗药粥，一道补肺虚，一道健脾胃,search,2
困扰七八年的腹泻消失了，停了半年的例假也回来了，怎么做到的？,search,2
答患者问：治胃病该吃西药还是中药？年轻人就不会得肠息肉么？,search,2
胃肠息肉有三大经典症状，她身上全都有，老中医三个月化解危机,search,2
萎缩性胃炎＋肠化生患者，六周内病情逆转，胃痛和反酸都消失了,search,2
22岁女孩患上两种结节，中医搭脉后发现，化解之法竟在她自己身上,search,2
一月她被胆囊息肉困扰，三月就完全康复了，两个月她只做了一件事,search,2
答患者问：声带息肉该怎么治疗？甲状腺结节并发高血压该怎么办？,search,2
结节显露三大癌变特征，危机关头中医出手，一个月后特征都消失了,search,2
多发胆结石伴有胆囊炎，该怎么治疗？怎么预防？一篇文章都讲明白,search,2
息肉在肠内不断发展，中医接手调理后，情况出现“跳跃式”好转,search,2
甲状腺和乳腺男性也有，为何患结节的大部分都是女性？,search,2
一个月时间，甲状腺结节缩小20%，在中医眼里，这事没什么稀奇,search,2
同样是肠炎，为何症状如此不同？病根不一样，调理各有方法！,search,2
喉咙中总是有粘痰？外邪郁结于肺所致！化解之法并不难,search,2
胃炎与肠息肉同时爆发，老主任苦口婆心，这三样东西尽量少碰！,search,2
肺结节已经有恶性征兆，手术风险却非常大，到底切还是不切？,search,2
胆囊息肉患者调理的第一个月，身体机能恢复，下一步解决失眠问题,search,2
吃完药后心情不太好？老中医立即警觉，致病关键找到了！,search,2
看诊经历：一个月食欲恢复，二个月不再失眠疲乏，三个月囊肿消失,search,2
胃中有个能摸出来的“硬块”，中医巧施妙手，三个月将之轻松化解,search,2
小伙看诊时对中医不屑一顾，一个月后态度大转变，究竟怎么回事？,search,2
胃食管反流竟能引起咳嗽，咳起来胸口堵涨还反酸，到底该怎么办？,search,2
息肉患者胃肠功能脆弱，中药调理后想吃就吃，息肉也不再复发了,search,2
11mm到3mm！中医调理四个月，胆囊息肉体积快速缩减,search,2
【答患者问】特别爱出汗该怎么治疗？总是烧心该怎么治疗？,search,2
五旬男子患胃息肉，胃痛胃胀还反酸，中医巧施妙手，半年化解危机,search,2
因息肉切除整个胆囊，如今吃不下饭还疲劳乏力，调理仅需两道经方,search,2
胆区疼痛就心慌意乱？小心！真正的恶疾有可能是沉默的,search,2
年过六旬突然发现巨大结节，病根积聚数十年，中医三个月化解危局,search,2
80岁老人查出肺结节，直径达13毫米，中医调理3个月后结节消失了,search,2
姐弟两人肺结节源自同一病根，中医调理后，结节被快速化解,search,2
调理一次后结节成功降级！但彻底康复却用了一年多，过程一波三折,search,2
胃息肉＋胆囊炎，右腹疼痛还痰多，调理两个月后，情况全面缓解！,search,2
咽喉不适竟查出恶疾，西医说：需终生服药，中医说：给我四个月！,search,2
老汉八十大寿之前发现肺结节，幸亏中医出手，三个月帮他度过此劫,search,2
肺结节显露癌变征兆，她却在手术台前选择放弃，究竟是怎么回事？,search,2
结节＋肿大＋增生，她的乳腺怎么如此多灾多难？原因只有一个！,search,2
三四天时间，1.8cm直径的结石就碎开了，而这一切竟是中药的功劳,search,2
肠内五个息肉，西医让手术，中医说不用，三个月后结果让西医惊奇,search,2
如何将胃肠息肉“斩草除根”？看看这个中年人的经历你就懂了！,search,2
息肉三个月化解大半，六个月彻底消失，怎么做到的？他选对了路！,search,2
肠息肉切了四次还复发，病根被老中医一眼看破，男性最易中此招！,search,2
淋巴斑块＋甲状腺结节，三个月后竟都消失了，只因他走对了这条路,search,2
肺结节、胆囊息肉如何在12周内彻底化解？只因大夫抓住了致病根源,search,2
肠息肉反复切除八次，最终医生摇头放弃，他这才醒悟，找错人了！,search,2
三个月时间，甲状腺结节完全消失，只因中医用了种“不能碰”的药,search,2
肠息肉三次手术都切不干净，不动刀三个月却自行消失，怎么回事？,search,2
肺结节接近1cm，患者毫无察觉，老主任解明病根，三个月化解危机,search,2
结节切了一个，又查出十三个，老中医看破病根，四周化解九成结节,search,2
意外惊喜！计划调理三个月，结果两个月息肉就彻底消失,search,2
火爆脾气竟促发结节，解决办法只有八个字，患者直呼“真神了！”,search,2
胃炎＋肠化生＋胃息肉，伤痕累累的胃该怎么办？幸亏中医出手了！,search,2
为什么息肉切了又长，反复复发？老中医用90秒时间彻底讲明白！,search,2
三年复发四次，每七个月做一次手术，不如中医调理三个月的成果！,search,2
3种息肉＋1种结节，体内各处长满“肉疙瘩”，中医出手后全面改善,search,2
何谓“情绪致病”？看看她的经历你就懂了！,search,2
这种病女性患者居多，但中医最怕男性患者，只因他们有一个难题！,search,2
1个月不再胃胀，2个月不再反酸，3个月息肉消失，他经历了什么？,search,2
回南天来了！有一种人最难忍受这种天气，他们竟也是息肉高发人群,search,2
一湿成两病！年轻小伙以为自己是小病，老中医一眼看出他危险了,search,2
经常喝冷水竟喝出怪病，西医束手无策，老中医看后给出一条明路,search,2
中药调理三个月，肺结节彻底消失，背后原因都在一个“痰”字,search,2
结节还小，不需治疗？别说傻话！看看他的经历你就懂了,search,2
口苦的背后根源是胆气上逆，一种常见植物煮水就可以化解,search,2
大便黏腻沾马桶？口苦胃胀食欲差？一道药粥可化解，只需四种药材,search,2
肠息肉三次手术后依旧复发，他决定走另一条路，结果息肉彻底消失,search,2
古方新用：《伤寒论》中记载的经典方药，让肠息肉患者彻底康复,search,2
甲状腺结节是否会导致皮肤瘙痒？总是烧心、打嗝该怎么办？,search,2
肠息肉患者找中医看诊，医生看了一眼她的保温杯，说病根找到了！,search,2
息肉患者胃肠内长满肉疙瘩，三个月内息肉彻底消失，怎么做到的？,search,2
不到三十岁的年轻女士，乳腺内长出十几个结节，问题根源竟在家里,search,2
年关难过年年过，该来的不该来的总是要来，关键看我们如何应对,search,2
胃息肉切了，又查出甲状腺结节＋肺结节？手术刀解决不了体质问题,search,2
危险的甲状腺结节什么样？“肠化生”怎么回事？胃息肉该怎么治？,search,2
肠息肉切除后就可以高枕无忧？他为此付出惨痛代价,search,2
胃痛胃胀还腹泻，西医却说她“没病”，中医调理三个月症状皆消,search,2
胃炎能拖出什么大病？说这话的人，很多都付出了惨痛代价,search,2
中国人佐餐调味最常用的食材，竟然被西医称为是“植物抗生素”,search,2
男人患结节有多危险？一年没查竟显露恶变征兆，幸亏中医出手了,search,2
女子体弱易患感冒，竟查出肺结节，幸亏中医出手，两个月化解结节,search,2
胃中像有个秤砣一样坠着难受？病根是中焦气虚，不及时治会胃下垂,search,2
乳腺增生需要手术吗？手脚发热却小腹凉？弯腰时肝胆部位会疼痛？,search,2
甲状腺结节、乳腺结节本质都是痰气凝结，理气化痰一个月化解结节,search,2
这个理论刚刚上了热搜，而中医早在一千多年前就搞明白了,search,2
一面一饭，用美味食材制作的药膳，能助人调理脾胃，化解肠胃不适,search,2
结节拖延治疗十年，快癌变了才想起中医，幸亏老主任出手力挽狂澜,search,2
30岁白领查出3cm乳腺结节，中医给了她一个建议，3个月后结节没了,search,2
甲状腺结节竟“男女有别”？中医一道古方，让结节与病根同时化解,search,2
霜降已到！深秋时节如何养生？两道食疗药膳送给您，可以护胃养肺,search,2
别慌！这项常规检查异常，并不代表一定有癌症，但需要你提高警惕,search,2
甲状腺结节能否艾灸？多发性斑片状结节是啥？关于结节的两个问题,search,2
查出胃肠息肉不治疗，胃痛几年才终于受不了，复查息肉多了十几倍,search,2
甲亢患者一定会突眼吗？能逆转吗？ | 科普时间,search,2
接种流感疫苗后，为什么还会感冒？已经出现过流感样症状，还需要接种流感疫苗吗？| 科普时间,search,2
警惕胰腺癌，留意这四个预警信号｜科普时间,search,2
邵志敏：为乳腺癌患者生命健康护航 | 2023最美医生,search,2
陈峰：在医学影像中搜寻“希望之光” | 2023最美医生,search,2
丁樱和她的三株“苗” | 2023最美医生,search,2
乡村医生刘永生：47载做乡亲们的健康“守门人”| 2023最美医生,search,2
“最美医生”李燕明：“生死时速”上救治生命 | 2023最美医生,search,2
重庆医生赴南太平洋 援外带回“洋徒弟” | 医道无界,search,2
面对抑郁症患者，怎么说话不伤人 | 科普时间,search,2
两赴非洲的援外医生，用实际行动践行中国医疗队精神 | 医道无界,search,2
拿起手机，推荐你身边的好医生好护士！,search,2
【中国好医生好护士】@所有人 欢迎为8月候选人点赞！,search,2
流感与普通感冒是一回事儿吗，针对流感病毒的消毒方法有哪些？ | 科普时间,search,2
国新办就“最美医生”举行中外记者见面会（文字实录）,search,2
尿酸高早晚会得痛风？痛风患者只要戒啤酒就行？这些痛风误区你有吗,search,2
预防骨质疏松，该怎么吃？ | 科普时间,search,2
儿童意外烧伤烫伤，如何处理｜健康过暑假,search,2
科学排雷 | 总感觉口干，未必是口渴了，还可能是……,search,2
老年便秘怎么办？日常做好三件事！| 科普时间,search,2
爱肝护肝，科学预防肝炎要做到这几点｜世界肝炎日,search,2
夏季烧烤真逍遥，小心痛风找上门，7月27日16时，来直播间！,search,2
当心！眼睛也会“过劳” | 科普时间,search,2
防控儿童青少年近视健康促进活动启动啦！,search,2
突然上吐下泻？当心诺如病毒 | 科普时间,search,2
直播预告：“中国好医生、中国好护士”走进中国医科大学现场交流活动,search,2
推荐十种预防老年痴呆的方法 | 科普时间,search,2
性格开朗并非抑郁症“绝缘体” | 科普时间,search,2
近视一定要戴眼镜吗？| 科普时间,search,2
这样做，让老年人远离多种慢性病的困扰 | 科普时间,search,2
网球肘，不只和打网球有关 | 科普时间,search,2
夏季儿童易腹泻，怎么防怎么治一篇说清楚！| 科普时间,search,2
科学排雷 | 湿疹处的皮肤，要“干”还是要“湿”？,search,2
夏日炎炎易脱水，老年人怎么喝水更健康？| 科普时间,search,2
读懂双相障碍（内附小测试）| 科普时间,search,2
雪天路滑，腰扭伤了怎么办｜科普时间,search,2
有抑郁症“免疫人格”吗？做好这四点，烦恼远离你！ | 科普时间,search,2
拿起手机，推荐你身边的好医生好护士！,search,2
【中国好医生好护士】@所有人 欢迎为7月候选人点赞！,search,2
网球肘，不只和打网球有关 | 科普时间,search,2
科学排雷｜爱笑的人，怎么会得抑郁症呢？,search,2
儿童视物模糊，不一定是近视，也有可能是干眼症,search,2
孕期腹痛，警惕急性胰腺炎,search,2
如何查找脑内引发癫痫的元凶,search,2
如何在第一时间发现孩子近视？,search,2
“口重”的人易患高血压？教您健康减盐！,search,2
巨大儿长大后更容易肥胖吗 | 科普时间,search,2
四招“搞定”夏季腹泻,search,2
严正：“钥匙医生”新传,search,2
青少年抑郁症，你了解吗？,search,2
“中国好医生”李桂科：践信守诺40年，麻风院成了幸福村,search,2
定期输液能防脑梗死？别信！管用的办法是这些,search,2
5个对策，拯救家长的近视焦虑,search,2
让孩子远离抑郁，父母做对3件事,search,2
科学排雷 | 不吃早餐，会“饿”出胆结石吗,search,2
如何预防药物性肝损伤,search,2
持续高温，小心热射病！常见症状有哪些？预防和现场急救知识了解一下！,search,2
孩子呼吸道感染后总咳嗽，家长可以这样做｜科普时间,search,2
热҈热҈热҈ 热到中暑怎么办？这些错误千万别犯！,search,2
拿起手机，推荐你身边的好医生好护士！,search,2
【中国好医生好护士】@所有人 欢迎为6月候选人点赞！,search,2
什么？脂肪肝也会找上孩子？！,search,2
关于猴痘，这些知识请了解！,search,2
科学排雷 | 扁桃体总发炎，要切掉吗？,search,2
龋病、牙龈炎……四类青少年常见口腔问题，如何防治？,search,2
关于白内障的五问五答,search,2
科学排雷 | 近视了戴眼镜，度数会加深吗,search,2
考前过度焦虑？专业心理医生来支招 | 高考加油站,search,2
秋冬季节，这些皮肤病可能会加重，应对措施看这里|科普时间,search,2
科学排雷 | 长口腔溃疡，就是缺维生素了？,search,2
甲亢治过了头会变成甲减吗|国际甲状腺知识宣传周,search,2
科学排雷 | 我经常emo，是得了抑郁症吗？,search,2
如何预防高血压｜世界高血压日,search,2
世界高血压日，守护健康血压！高血压八大谣言，您都知道吗？,search,2
拿起手机，推荐你身边的好医生好护士！,search,2
【中国好医生好护士】@所有人 欢迎为5月候选人点赞！,search,2
如何与抑郁症患者相处？一起试试这些办法,search,2
孩子得了红斑狼疮，能治好吗,search,2
世界地贫日 | 了解地中海贫血，远离遗传病,search,2
如何识别冻伤和失温？处理方法了解一下！｜科普时间,search,2
科学排雷 | 脚上长痣，就是皮肤癌？,search,2
喘，上不来气……哮喘找上门，我该怎么办？| 世界哮喘日,search,2
改善老年人贫血，合理饮食很关键,search,2
巩固疟疾消除成果须人人参与 | 全国疟疾日,search,2
如何发现早期肺癌的端倪,search,2
肺结核和感冒如何区分？预防结核病，这些知识要知道,search,2
癌症≠绝症，防癌抗癌从你我做起！4月21日下午4点，来直播间！,search,2
无痛血尿 可能是膀胱癌的预警｜全国肿瘤防治宣传周,search,2
守护甲状腺健康 远离颈部“蝴蝶癌”｜全国肿瘤防治宣传周,search,2
肺癌筛查，你查对了吗｜全国肿瘤防治宣传周,search,2
乳腺增生、前列腺增生、骨质增生……体检查出增生，危害大吗？| 科普时间,search,2
避免“道”路事故， 远离肠癌，做好这几点｜全国肿瘤防治宣传周,search,2
