name,id,number
结节,1,73
息肉,2,58
肺结节,3,20
胀痛,4,2
便秘,5,38
无力,6,5
咽炎,7,3
百合,8,1
癌症,9,107
消化不良,10,4
胃炎,11,13
烧心,12,8
打嗝,13,4
呃逆,14,1
胆结石,15,3
结石,16,24
高脂血症,17,2
乳腺结节,18,4
胃病,19,11
疲劳,20,4
胃癌,21,38
脾虚,22,2
胆囊息肉,23,5
嗳气,24,1
胃息肉,25,6
腹泻,26,10
胃痛,27,5
反酸,28,8
声带息肉,29,1
高血压,30,66
胆囊炎,31,4
肠炎,32,2
失眠,33,16
疲乏,34,2
囊肿,35,10
咳嗽,36,37
乏力,37,4
心慌,38,4
积聚,39,1
痰多,40,2
口苦,41,2
伤寒,42,1
瘙痒,43,6
感冒,44,42
胃下垂,45,1
乳腺增生,46,4
手脚发热,47,1
甲亢,48,2
胰腺癌,49,7
腺癌,50,21
乳腺癌,51,7
抑郁,52,15
抑郁症,53,10
痛风,54,53
啤酒,55,10
骨质疏松,56,8
烧伤,57,1
烫伤,58,3
口干,59,2
口渴,60,1
老年便秘,61,1
肝炎,62,5
过劳,63,1
近视,64,14
上吐下泻,65,2
老年痴呆,66,9
痴呆,67,12
慢性病,68,10
性病,69,13
网球肘,70,1
湿疹,71,4
脱水,72,1

扭伤,74,1
视物模糊,75,2
干眼,76,3
腹痛,77,3
胰腺炎,78,4
癫痫,79,2
巨大儿,80,1
肥胖,81,6
麻风,82,1
脑梗死,83,4
肝损伤,84,5
热射病,85,2
中暑,86,3
脂肪肝,87,10
猴痘,88,9
发炎,89,1
牙龈炎,90,1
白内障,91,3
皮肤病,92,8
口腔溃疡,93,6
溃疡,94,12
红斑,95,4
红斑狼疮,96,4
贫血,97,13
遗传病,98,3
冻伤,99,5
皮肤癌,100,1
哮喘,101,10
疟疾,102,2
肺癌,103,29
肺结核,104,3
结核病,105,4
血尿,106,2
膀胱癌,107,2
肿瘤,108,31
骨质增生,109,1
肠癌,110,25
灰指甲,111,1
帕金森病,112,4
休克,113,2
关节炎,114,4
鼻塞,115,3
流鼻涕,116,5
关节痛,117,4
慢性肝病,118,1
肝病,119,10
青光眼,120,3
带状疱疹,121,3
疱疹,122,3
耳鸣,123,1
听力下降,124,1
发烧,125,13
甲流,126,15
猝死,127,28
呕吐,128,4
眼干,129,1
便血,130,1
心肌炎,131,4
肝硬化,132,6
硬化,133,11
分娩,134,3
盲点,135,1
脱发,136,7
风寒,137,2
肺炎,138,54
手足口病,139,4
艾滋病,140,10
糖尿,141,54
糖尿病,142,54
营养不良,143,5
血压高,144,8
中风,145,28
静脉血栓,146,2
低血压,147,3
黄疸,148,1
眩晕,149,1
颈椎病,150,2
耳石症,151,1
狂犬病,152,2
流鼻血,153,1
骨折,154,3
磨牙,155,1
煤气中毒,156,1
学习困难,157,1
骨关节炎,158,2
打喷嚏,159,2
孤独症,160,1
肾结石,161,9
老来瘦,162,1
驼背,163,2
瘫痪,164,5
脑膜炎,165,1
手脚冰凉,166,3
鱼肉,167,1
冰糖,168,1
梨,169,1
子满,170,2
发育迟缓,171,2
口齿不清,172,1
颅脑损伤,173,1
胎记,174,1
阑尾炎,175,1
药物过敏,176,1
鼻炎,177,8
开塞露,178,1
乙肝,179,13
肾炎,180,1
鸡,181,16
高血脂,182,11
咳痰,183,5
